method,acc,good,unacc,vgood
linear support vector machine,0.1796875,0.0,0.984297520661157,0.0
naive bayes,0.013020833333333334,0.0,0.9975206611570248,0.0
logistic regression,0.1796875,0.0,0.9173553719008265,0.2153846153846154
k nearest neighbours,0.7473958333333334,0.43478260869565216,0.9900826446280991,0.38461538461538464
random forest,0.9635416666666666,0.8985507246376812,0.987603305785124,0.9846153846153847
decision tree classifier,0.96875,0.8985507246376812,0.9892561983471074,0.9538461538461539
