method,acc,good,unacc,vgood
linear support vector machine,0.2700587084148728,0.0,0.8473852721451441,0.0
naive bayes,0.025510204081632654,0.0,0.8241720723796518,0.0
logistic regression,0.2383419689119171,0.0,0.8222222222222223,0.2592592592592593
k nearest neighbours,0.779891304347826,0.5714285714285714,0.9489108910891089,0.5555555555555556
random forest,0.9536082474226804,0.9185185185185185,0.9904682967260671,0.9696969696969696
decision tree classifier,0.96248382923674,0.8985507246376812,0.9908940397350994,0.9612403100775193
