method,acc,good,unacc,vgood
linear support vector machine,0.5433070866141733,0.0,0.7439100562148657,0.0
naive bayes,0.625,0.0,0.702152414194299,0.0
logistic regression,0.35384615384615387,0.0,0.7449664429530202,0.32558139534883723
k nearest neighbours,0.8153409090909091,0.8333333333333334,0.9110266159695818,1.0
random forest,0.9438775510204082,0.9393939393939394,0.9933499584372403,0.9552238805970149
decision tree classifier,0.9562982005141388,0.8985507246376812,0.9925373134328358,0.96875
